ID,Team,Avg Ticket
1,Angels,30.92
2,Diamondbacks,20.86
3,Braves,29.44
4,Red Sox,59.32
5,Orioles,29.95
6,Cubs,59.49
7,White Sox,28.38
8,Reds,21.14
9,Indians,31.16
10,Rockies,27.29
11,Tigers,28.31
12,Marlins,22.55
13,Astros,49.85
14,Royals,32.84
15,Dodgers,42.62
16,Brewers,28.44
17,Twins,32.68
18,Nationals,44.12
19,Mets,27.6
20,Yankees,48.62
21,Athletics,24.3
22,Phillies,36.04
23,Pirates,22.81
24,Padres,22.22
25,Giants,38.32
26,Mariners,37.77
27,Cardinals,35.54
28,Rays,22.53
29,Rangers,25.75
30,Blue Jays,29.69
