,date,team,opponent,game_time,attendance,night_game,home
0,"Monday, Apr 3 2017",MIA,WSN,2:47,"42,744",0,0
1,"Wednesday, Apr 5 2017",MIA,WSN,3:06,"22,715",1,0
2,"Thursday, Apr 6 2017",MIA,WSN,3:26,"19,418",1,0
3,"Friday, Apr 7 2017",MIA,NYM,3:06,"27,891",1,0
4,"Saturday, Apr 8 2017",MIA,NYM,3:25,"33,936",1,0
5,"Sunday, Apr 9 2017",MIA,NYM,2:44,"27,420",1,0
6,"Tuesday, Apr 11 2017",MIA,ATL,2:54,"36,519",1,1
7,"Wednesday, Apr 12 2017",MIA,ATL,2:51,"16,808",1,1
8,"Thursday, Apr 13 2017",MIA,NYM,5:38,"23,192",1,1
9,"Friday, Apr 14 2017",MIA,NYM,3:26,"24,194",1,1
10,"Saturday, Apr 15 2017",MIA,NYM,2:30,"25,137",1,1
11,"Sunday, Apr 16 2017",MIA,NYM,2:58,"20,028",0,1
12,"Monday, Apr 17 2017",MIA,SEA,2:31,"16,990",1,0
13,"Tuesday, Apr 18 2017",MIA,SEA,2:33,"16,126",1,0
14,"Wednesday, Apr 19 2017",MIA,SEA,3:32,"27,147",0,0
15,"Friday, Apr 21 2017",MIA,SDP,2:28,"30,413",1,0
16,"Saturday, Apr 22 2017",MIA,SDP,3:13,"39,319",1,0
17,"Sunday, Apr 23 2017",MIA,SDP,2:42,"26,070",0,0
18,"Wednesday, Apr 26 2017",MIA,PHI,2:41,"26,191",1,0
19,"Thursday, Apr 27 2017",MIA,PHI,3:15,"22,180",0,0
20,"Friday, Apr 28 2017",MIA,PIT,3:31,"19,690",1,1
21,"Saturday, Apr 29 2017",MIA,PIT,2:31,"33,152",1,1
22,"Sunday, Apr 30 2017",MIA,PIT,3:36,"26,245",0,1
24,"Monday, May 1 2017",MIA,TBR,3:14,"16,096",1,1
25,"Tuesday, May 2 2017",MIA,TBR,3:22,"16,011",1,1
26,"Wednesday, May 3 2017",MIA,TBR,3:33,"12,285",1,0
27,"Thursday, May 4 2017",MIA,TBR,3:22,"10,118",1,0
28,"Friday, May 5 2017",MIA,NYM,3:14,"25,618",1,0
